"Ajankohta";"Energia (kWh)";"Ulkolämpötila °C"
"2022-02-24 00:00";"4,49";"−0,2"
"2022-02-24 01:00";"3,71";"−0,2"
"2022-02-24 02:00";"3,55";"−0,3"
"2022-02-24 03:00";"4,70";"−0,7"
"2022-02-24 04:00";"5,27";"−0,8"
"2022-02-24 05:00";"5,34";"−1,3"
"2022-02-24 06:00";"4,96";"−1,9"
"2022-02-24 07:00";"4,08";"−2,5"
"2022-02-24 08:00";"2,98";"−3,1"
"2022-02-24 09:00";"2,73";"−3,6"
"2022-02-24 10:00";"3,55";"−3,6"
"2022-02-24 11:00";"3,62";"−3,6"
"2022-02-24 12:00";"4,58";"−3,7"
"2022-02-24 13:00";"5,62";"−4,0"
"2022-02-24 14:00";"4,48";"−4,1"
"2022-02-24 15:00";"2,94";"−4,1"
"2022-02-24 16:00";"3,03";"−4,5"
"2022-02-24 17:00";"3,00";"−5,0"
"2022-02-24 18:00";"4,28";"−5,5"
"2022-02-24 19:00";"3,14";"−6,7"
"2022-02-24 20:00";"4,15";"−8,0"
"2022-02-24 21:00";"5,31";"−9,4"
"2022-02-24 22:00";"7,93";"−10,6"
"2022-02-24 23:00";"8,50";"−11,1"
