"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+03:00","Lopetusaika UTC+03:00","Tuulivoimatuotanto - reaaliaikatieto"
"2021-02-28 21:01:00","2021-02-28 21:01:00","2021-03-01 00:01:00","2021-03-01 00:01:00","2137.0"
"2021-02-28 21:04:00","2021-02-28 21:04:00","2021-03-01 00:04:00","2021-03-01 00:04:00","2143.0"
"2021-02-28 21:07:00","2021-02-28 21:07:00","2021-03-01 00:07:00","2021-03-01 00:07:00","2137.0"
"2021-02-28 21:10:00","2021-02-28 21:10:00","2021-03-01 00:10:00","2021-03-01 00:10:00","2129.0"
"2021-02-28 21:13:00","2021-02-28 21:13:00","2021-03-01 00:13:00","2021-03-01 00:13:00","2131.4"
"2021-02-28 21:16:00","2021-02-28 21:16:00","2021-03-01 00:16:00","2021-03-01 00:16:00","2135.0"
"2021-02-28 21:19:00","2021-02-28 21:19:00","2021-03-01 00:19:00","2021-03-01 00:19:00","2139.9"
"2021-02-28 21:22:00","2021-02-28 21:22:00","2021-03-01 00:22:00","2021-03-01 00:22:00","2144.0"
"2021-02-28 21:25:00","2021-02-28 21:25:00","2021-03-01 00:25:00","2021-03-01 00:25:00","2152.0"
"2021-02-28 21:28:00","2021-02-28 21:28:00","2021-03-01 00:28:00","2021-03-01 00:28:00","2150.5"
"2021-02-28 21:31:00","2021-02-28 21:31:00","2021-03-01 00:31:00","2021-03-01 00:31:00","2160.0"
"2021-02-28 21:34:00","2021-02-28 21:34:00","2021-03-01 00:34:00","2021-03-01 00:34:00","2160.5"
"2021-02-28 21:37:00","2021-02-28 21:37:00","2021-03-01 00:37:00","2021-03-01 00:37:00","2165.5"
"2021-02-28 21:40:00","2021-02-28 21:40:00","2021-03-01 00:40:00","2021-03-01 00:40:00","2175.0"
"2021-02-28 21:43:00","2021-02-28 21:43:00","2021-03-01 00:43:00","2021-03-01 00:43:00","2188.5"
"2021-02-28 21:46:00","2021-02-28 21:46:00","2021-03-01 00:46:00","2021-03-01 00:46:00","2188.0"
"2021-02-28 21:49:00","2021-02-28 21:49:00","2021-03-01 00:49:00","2021-03-01 00:49:00","2186.0"
"2021-02-28 21:52:00","2021-02-28 21:52:00","2021-03-01 00:52:00","2021-03-01 00:52:00","2183.5"
"2021-02-28 21:55:00","2021-02-28 21:55:00","2021-03-01 00:55:00","2021-03-01 00:55:00","2180.6"
"2021-02-28 21:58:00","2021-02-28 21:58:00","2021-03-01 00:58:00","2021-03-01 00:58:00","2187.5"
"2021-02-28 22:01:00","2021-02-28 22:01:00","2021-03-01 01:01:00","2021-03-01 01:01:00","2197.0"
"2021-02-28 22:04:00","2021-02-28 22:04:00","2021-03-01 01:04:00","2021-03-01 01:04:00","2199.0"
"2021-02-28 22:07:00","2021-02-28 22:07:00","2021-03-01 01:07:00","2021-03-01 01:07:00","2191.0"
"2021-02-28 22:10:00","2021-02-28 22:10:00","2021-03-01 01:10:00","2021-03-01 01:10:00","2181.0"
"2021-02-28 22:13:00","2021-02-28 22:13:00","2021-03-01 01:13:00","2021-03-01 01:13:00","2179.0"
"2021-02-28 22:16:00","2021-02-28 22:16:00","2021-03-01 01:16:00","2021-03-01 01:16:00","2180.0"
"2021-02-28 22:19:00","2021-02-28 22:19:00","2021-03-01 01:19:00","2021-03-01 01:19:00","2172.0"
"2021-02-28 22:22:00","2021-02-28 22:22:00","2021-03-01 01:22:00","2021-03-01 01:22:00","2173.5"
"2021-02-28 22:25:00","2021-02-28 22:25:00","2021-03-01 01:25:00","2021-03-01 01:25:00","2163.5"
"2021-02-28 22:28:00","2021-02-28 22:28:00","2021-03-01 01:28:00","2021-03-01 01:28:00","2166.0"
"2021-02-28 22:31:00","2021-02-28 22:31:00","2021-03-01 01:31:00","2021-03-01 01:31:00","2172.0"
"2021-02-28 22:34:00","2021-02-28 22:34:00","2021-03-01 01:34:00","2021-03-01 01:34:00","2162.0"
"2021-02-28 22:37:00","2021-02-28 22:37:00","2021-03-01 01:37:00","2021-03-01 01:37:00","2170.5"
"2021-02-28 22:40:00","2021-02-28 22:40:00","2021-03-01 01:40:00","2021-03-01 01:40:00","2173.0"
"2021-02-28 22:43:00","2021-02-28 22:43:00","2021-03-01 01:43:00","2021-03-01 01:43:00","2164.1"
"2021-02-28 22:46:00","2021-02-28 22:46:00","2021-03-01 01:46:00","2021-03-01 01:46:00","2163.0"
"2021-02-28 22:49:00","2021-02-28 22:49:00","2021-03-01 01:49:00","2021-03-01 01:49:00","2158.0"
"2021-02-28 22:52:00","2021-02-28 22:52:00","2021-03-01 01:52:00","2021-03-01 01:52:00","2165.0"
"2021-02-28 22:55:00","2021-02-28 22:55:00","2021-03-01 01:55:00","2021-03-01 01:55:00","2175.0"
"2021-02-28 22:58:00","2021-02-28 22:58:00","2021-03-01 01:58:00","2021-03-01 01:58:00","2176.0"
"2021-02-28 23:01:00","2021-02-28 23:01:00","2021-03-01 02:01:00","2021-03-01 02:01:00","2183.4"
"2021-02-28 23:04:00","2021-02-28 23:04:00","2021-03-01 02:04:00","2021-03-01 02:04:00","2183.0"
"2021-02-28 23:07:00","2021-02-28 23:07:00","2021-03-01 02:07:00","2021-03-01 02:07:00","2186.0"
"2021-02-28 23:10:00","2021-02-28 23:10:00","2021-03-01 02:10:00","2021-03-01 02:10:00","2188.0"
"2021-02-28 23:13:00","2021-02-28 23:13:00","2021-03-01 02:13:00","2021-03-01 02:13:00","2192.0"
"2021-02-28 23:16:00","2021-02-28 23:16:00","2021-03-01 02:16:00","2021-03-01 02:16:00","2200.0"
"2021-02-28 23:19:00","2021-02-28 23:19:00","2021-03-01 02:19:00","2021-03-01 02:19:00","2198.0"
"2021-02-28 23:22:00","2021-02-28 23:22:00","2021-03-01 02:22:00","2021-03-01 02:22:00","2204.0"
"2021-02-28 23:25:00","2021-02-28 23:25:00","2021-03-01 02:25:00","2021-03-01 02:25:00","2204.0"
"2021-02-28 23:28:00","2021-02-28 23:28:00","2021-03-01 02:28:00","2021-03-01 02:28:00","2204.0"
"2021-02-28 23:31:00","2021-02-28 23:31:00","2021-03-01 02:31:00","2021-03-01 02:31:00","2202.0"
"2021-02-28 23:34:00","2021-02-28 23:34:00","2021-03-01 02:34:00","2021-03-01 02:34:00","2201.5"
"2021-02-28 23:37:00","2021-02-28 23:37:00","2021-03-01 02:37:00","2021-03-01 02:37:00","2200.5"
"2021-02-28 23:40:00","2021-02-28 23:40:00","2021-03-01 02:40:00","2021-03-01 02:40:00","2200.0"
"2021-02-28 23:43:00","2021-02-28 23:43:00","2021-03-01 02:43:00","2021-03-01 02:43:00","2195.0"
"2021-02-28 23:46:00","2021-02-28 23:46:00","2021-03-01 02:46:00","2021-03-01 02:46:00","2195.0"
"2021-02-28 23:49:00","2021-02-28 23:49:00","2021-03-01 02:49:00","2021-03-01 02:49:00","2196.0"
"2021-02-28 23:52:00","2021-02-28 23:52:00","2021-03-01 02:52:00","2021-03-01 02:52:00","2195.0"
"2021-02-28 23:55:00","2021-02-28 23:55:00","2021-03-01 02:55:00","2021-03-01 02:55:00","2188.5"
"2021-02-28 23:58:00","2021-02-28 23:58:00","2021-03-01 02:58:00","2021-03-01 02:58:00","2188.5"
"2021-03-01 00:01:00","2021-03-01 00:01:00","2021-03-01 03:01:00","2021-03-01 03:01:00","2188.0"
"2021-03-01 00:04:00","2021-03-01 00:04:00","2021-03-01 03:04:00","2021-03-01 03:04:00","2191.5"
"2021-03-01 00:07:00","2021-03-01 00:07:00","2021-03-01 03:07:00","2021-03-01 03:07:00","2189.0"
"2021-03-01 00:10:00","2021-03-01 00:10:00","2021-03-01 03:10:00","2021-03-01 03:10:00","2184.0"
"2021-03-01 00:13:00","2021-03-01 00:13:00","2021-03-01 03:13:00","2021-03-01 03:13:00","2185.0"
"2021-03-01 00:16:00","2021-03-01 00:16:00","2021-03-01 03:16:00","2021-03-01 03:16:00","2188.0"
"2021-03-01 00:19:00","2021-03-01 00:19:00","2021-03-01 03:19:00","2021-03-01 03:19:00","2185.0"
"2021-03-01 00:22:00","2021-03-01 00:22:00","2021-03-01 03:22:00","2021-03-01 03:22:00","2186.0"
"2021-03-01 00:25:00","2021-03-01 00:25:00","2021-03-01 03:25:00","2021-03-01 03:25:00","2187.0"
"2021-03-01 00:28:00","2021-03-01 00:28:00","2021-03-01 03:28:00","2021-03-01 03:28:00","2188.0"
"2021-03-01 00:31:00","2021-03-01 00:31:00","2021-03-01 03:31:00","2021-03-01 03:31:00","2184.0"
"2021-03-01 00:34:00","2021-03-01 00:34:00","2021-03-01 03:34:00","2021-03-01 03:34:00","2175.5"
"2021-03-01 00:37:00","2021-03-01 00:37:00","2021-03-01 03:37:00","2021-03-01 03:37:00","2169.0"
"2021-03-01 00:40:00","2021-03-01 00:40:00","2021-03-01 03:40:00","2021-03-01 03:40:00","2177.0"
"2021-03-01 00:43:00","2021-03-01 00:43:00","2021-03-01 03:43:00","2021-03-01 03:43:00","2173.0"
"2021-03-01 00:46:00","2021-03-01 00:46:00","2021-03-01 03:46:00","2021-03-01 03:46:00","2173.0"
"2021-03-01 00:49:00","2021-03-01 00:49:00","2021-03-01 03:49:00","2021-03-01 03:49:00","2167.0"
"2021-03-01 00:52:00","2021-03-01 00:52:00","2021-03-01 03:52:00","2021-03-01 03:52:00","2165.0"
"2021-03-01 00:55:00","2021-03-01 00:55:00","2021-03-01 03:55:00","2021-03-01 03:55:00","2172.5"
"2021-03-01 00:58:00","2021-03-01 00:58:00","2021-03-01 03:58:00","2021-03-01 03:58:00","2173.0"
"2021-03-01 01:01:00","2021-03-01 01:01:00","2021-03-01 04:01:00","2021-03-01 04:01:00","2176.5"
"2021-03-01 01:04:00","2021-03-01 01:04:00","2021-03-01 04:04:00","2021-03-01 04:04:00","2181.0"
"2021-03-01 01:07:00","2021-03-01 01:07:00","2021-03-01 04:07:00","2021-03-01 04:07:00","2170.0"
"2021-03-01 01:10:00","2021-03-01 01:10:00","2021-03-01 04:10:00","2021-03-01 04:10:00","2170.0"
"2021-03-01 01:13:00","2021-03-01 01:13:00","2021-03-01 04:13:00","2021-03-01 04:13:00","2169.0"
"2021-03-01 01:16:00","2021-03-01 01:16:00","2021-03-01 04:16:00","2021-03-01 04:16:00","2165.9"
"2021-03-01 01:19:00","2021-03-01 01:19:00","2021-03-01 04:19:00","2021-03-01 04:19:00","2168.5"
"2021-03-01 01:22:00","2021-03-01 01:22:00","2021-03-01 04:22:00","2021-03-01 04:22:00","2170.5"
"2021-03-01 01:25:00","2021-03-01 01:25:00","2021-03-01 04:25:00","2021-03-01 04:25:00","2165.5"
"2021-03-01 01:28:00","2021-03-01 01:28:00","2021-03-01 04:28:00","2021-03-01 04:28:00","2153.5"
"2021-03-01 01:31:00","2021-03-01 01:31:00","2021-03-01 04:31:00","2021-03-01 04:31:00","2158.0"
"2021-03-01 01:34:00","2021-03-01 01:34:00","2021-03-01 04:34:00","2021-03-01 04:34:00","2165.5"
"2021-03-01 01:37:00","2021-03-01 01:37:00","2021-03-01 04:37:00","2021-03-01 04:37:00","2169.0"
"2021-03-01 01:40:00","2021-03-01 01:40:00","2021-03-01 04:40:00","2021-03-01 04:40:00","2160.5"
"2021-03-01 01:43:00","2021-03-01 01:43:00","2021-03-01 04:43:00","2021-03-01 04:43:00","2168.0"
"2021-03-01 01:46:00","2021-03-01 01:46:00","2021-03-01 04:46:00","2021-03-01 04:46:00","2161.0"
"2021-03-01 01:49:00","2021-03-01 01:49:00","2021-03-01 04:49:00","2021-03-01 04:49:00","2157.5"
"2021-03-01 01:52:00","2021-03-01 01:52:00","2021-03-01 04:52:00","2021-03-01 04:52:00","2154.0"
"2021-03-01 01:55:00","2021-03-01 01:55:00","2021-03-01 04:55:00","2021-03-01 04:55:00","2152.0"
"2021-03-01 01:58:00","2021-03-01 01:58:00","2021-03-01 04:58:00","2021-03-01 04:58:00","2158.5"
"2021-03-01 02:01:00","2021-03-01 02:01:00","2021-03-01 05:01:00","2021-03-01 05:01:00","2150.5"
"2021-03-01 02:04:00","2021-03-01 02:04:00","2021-03-01 05:04:00","2021-03-01 05:04:00","2148.5"
"2021-03-01 02:07:00","2021-03-01 02:07:00","2021-03-01 05:07:00","2021-03-01 05:07:00","2155.0"
"2021-03-01 02:10:00","2021-03-01 02:10:00","2021-03-01 05:10:00","2021-03-01 05:10:00","2157.0"
"2021-03-01 02:13:00","2021-03-01 02:13:00","2021-03-01 05:13:00","2021-03-01 05:13:00","2155.0"
"2021-03-01 02:16:00","2021-03-01 02:16:00","2021-03-01 05:16:00","2021-03-01 05:16:00","2164.0"
"2021-03-01 02:19:00","2021-03-01 02:19:00","2021-03-01 05:19:00","2021-03-01 05:19:00","2177.0"
"2021-03-01 02:22:00","2021-03-01 02:22:00","2021-03-01 05:22:00","2021-03-01 05:22:00","2176.0"
"2021-03-01 02:25:00","2021-03-01 02:25:00","2021-03-01 05:25:00","2021-03-01 05:25:00","2176.0"
"2021-03-01 02:28:00","2021-03-01 02:28:00","2021-03-01 05:28:00","2021-03-01 05:28:00","2179.0"
"2021-03-01 02:31:00","2021-03-01 02:31:00","2021-03-01 05:31:00","2021-03-01 05:31:00","2177.0"
"2021-03-01 02:34:00","2021-03-01 02:34:00","2021-03-01 05:34:00","2021-03-01 05:34:00","2175.0"
"2021-03-01 02:37:00","2021-03-01 02:37:00","2021-03-01 05:37:00","2021-03-01 05:37:00","2178.5"
"2021-03-01 02:40:00","2021-03-01 02:40:00","2021-03-01 05:40:00","2021-03-01 05:40:00","2170.0"
"2021-03-01 02:43:00","2021-03-01 02:43:00","2021-03-01 05:43:00","2021-03-01 05:43:00","2170.0"
