"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+03:00","Lopetusaika UTC+03:00","Tuulivoimatuotanto - reaaliaikatieto"
"2021-12-31 21:01:00","2021-12-31 21:01:00","2022-01-01 00:01:00","2022-01-01 00:01:00","1177.0"
"2021-12-31 21:04:00","2021-12-31 21:04:00","2022-01-01 00:04:00","2022-01-01 00:04:00","1174.0"
"2021-12-31 21:07:00","2021-12-31 21:07:00","2022-01-01 00:07:00","2022-01-01 00:07:00","1166.5"
"2021-12-31 21:10:00","2021-12-31 21:10:00","2022-01-01 00:10:00","2022-01-01 00:10:00","1166.5"
"2021-12-31 21:13:00","2021-12-31 21:13:00","2022-01-01 00:13:00","2022-01-01 00:13:00","1175.0"
"2021-12-31 21:16:00","2021-12-31 21:16:00","2022-01-01 00:16:00","2022-01-01 00:16:00","1169.5"
"2021-12-31 21:19:00","2021-12-31 21:19:00","2022-01-01 00:19:00","2022-01-01 00:19:00","1177.0"
"2021-12-31 21:22:00","2021-12-31 21:22:00","2022-01-01 00:22:00","2022-01-01 00:22:00","1191.0"
"2021-12-31 21:25:00","2021-12-31 21:25:00","2022-01-01 00:25:00","2022-01-01 00:25:00","1206.0"
"2021-12-31 21:28:00","2021-12-31 21:28:00","2022-01-01 00:28:00","2022-01-01 00:28:00","1207.0"
"2021-12-31 21:31:00","2021-12-31 21:31:00","2022-01-01 00:31:00","2022-01-01 00:31:00","1208.0"
"2021-12-31 21:34:00","2021-12-31 21:34:00","2022-01-01 00:34:00","2022-01-01 00:34:00","1209.0"
"2021-12-31 21:37:00","2021-12-31 21:37:00","2022-01-01 00:37:00","2022-01-01 00:37:00","1223.0"
"2021-12-31 21:40:00","2021-12-31 21:40:00","2022-01-01 00:40:00","2022-01-01 00:40:00","1234.5"
"2021-12-31 21:43:00","2021-12-31 21:43:00","2022-01-01 00:43:00","2022-01-01 00:43:00","1241.5"
"2021-12-31 21:46:00","2021-12-31 21:46:00","2022-01-01 00:46:00","2022-01-01 00:46:00","1251.0"
"2021-12-31 21:49:00","2021-12-31 21:49:00","2022-01-01 00:49:00","2022-01-01 00:49:00","1274.5"
"2021-12-31 21:52:00","2021-12-31 21:52:00","2022-01-01 00:52:00","2022-01-01 00:52:00","1279.5"
"2021-12-31 21:55:00","2021-12-31 21:55:00","2022-01-01 00:55:00","2022-01-01 00:55:00","1260.0"
"2021-12-31 21:58:00","2021-12-31 21:58:00","2022-01-01 00:58:00","2022-01-01 00:58:00","1269.0"
"2021-12-31 22:01:00","2021-12-31 22:01:00","2022-01-01 01:01:00","2022-01-01 01:01:00","1296.9"
"2021-12-31 22:04:00","2021-12-31 22:04:00","2022-01-01 01:04:00","2022-01-01 01:04:00","1280.0"
"2021-12-31 22:07:00","2021-12-31 22:07:00","2022-01-01 01:07:00","2022-01-01 01:07:00","1291.0"
"2021-12-31 22:10:00","2021-12-31 22:10:00","2022-01-01 01:10:00","2022-01-01 01:10:00","1308.0"
"2021-12-31 22:13:00","2021-12-31 22:13:00","2022-01-01 01:13:00","2022-01-01 01:13:00","1297.5"
"2021-12-31 22:16:00","2021-12-31 22:16:00","2022-01-01 01:16:00","2022-01-01 01:16:00","1304.5"
"2021-12-31 22:19:00","2021-12-31 22:19:00","2022-01-01 01:19:00","2022-01-01 01:19:00","1323.0"
"2021-12-31 22:22:00","2021-12-31 22:22:00","2022-01-01 01:22:00","2022-01-01 01:22:00","1343.0"
"2021-12-31 22:25:00","2021-12-31 22:25:00","2022-01-01 01:25:00","2022-01-01 01:25:00","1321.0"
"2021-12-31 22:28:00","2021-12-31 22:28:00","2022-01-01 01:28:00","2022-01-01 01:28:00","1319.0"
"2021-12-31 22:31:00","2021-12-31 22:31:00","2022-01-01 01:31:00","2022-01-01 01:31:00","1319.5"
"2021-12-31 22:34:00","2021-12-31 22:34:00","2022-01-01 01:34:00","2022-01-01 01:34:00","1329.5"
"2021-12-31 22:37:00","2021-12-31 22:37:00","2022-01-01 01:37:00","2022-01-01 01:37:00","1315.0"
"2021-12-31 22:40:00","2021-12-31 22:40:00","2022-01-01 01:40:00","2022-01-01 01:40:00","1321.0"
"2021-12-31 22:43:00","2021-12-31 22:43:00","2022-01-01 01:43:00","2022-01-01 01:43:00","1318.0"
"2021-12-31 22:46:00","2021-12-31 22:46:00","2022-01-01 01:46:00","2022-01-01 01:46:00","1330.0"
"2021-12-31 22:49:00","2021-12-31 22:49:00","2022-01-01 01:49:00","2022-01-01 01:49:00","1339.0"
"2021-12-31 22:52:00","2021-12-31 22:52:00","2022-01-01 01:52:00","2022-01-01 01:52:00","1328.5"
"2021-12-31 22:55:00","2021-12-31 22:55:00","2022-01-01 01:55:00","2022-01-01 01:55:00","1347.9"
"2021-12-31 22:58:00","2021-12-31 22:58:00","2022-01-01 01:58:00","2022-01-01 01:58:00","1349.5"
"2021-12-31 23:01:00","2021-12-31 23:01:00","2022-01-01 02:01:00","2022-01-01 02:01:00","1359.0"
"2021-12-31 23:04:00","2021-12-31 23:04:00","2022-01-01 02:04:00","2022-01-01 02:04:00","1365.9"
"2021-12-31 23:07:00","2021-12-31 23:07:00","2022-01-01 02:07:00","2022-01-01 02:07:00","1378.0"
"2021-12-31 23:10:00","2021-12-31 23:10:00","2022-01-01 02:10:00","2022-01-01 02:10:00","1396.0"
"2021-12-31 23:13:00","2021-12-31 23:13:00","2022-01-01 02:13:00","2022-01-01 02:13:00","1411.0"
"2021-12-31 23:16:00","2021-12-31 23:16:00","2022-01-01 02:16:00","2022-01-01 02:16:00","1421.5"
"2021-12-31 23:19:00","2021-12-31 23:19:00","2022-01-01 02:19:00","2022-01-01 02:19:00","1431.0"
"2021-12-31 23:22:00","2021-12-31 23:22:00","2022-01-01 02:22:00","2022-01-01 02:22:00","1447.5"
"2021-12-31 23:25:00","2021-12-31 23:25:00","2022-01-01 02:25:00","2022-01-01 02:25:00","1463.0"
"2021-12-31 23:28:00","2021-12-31 23:28:00","2022-01-01 02:28:00","2022-01-01 02:28:00","1461.6"
"2021-12-31 23:31:00","2021-12-31 23:31:00","2022-01-01 02:31:00","2022-01-01 02:31:00","1464.0"
"2021-12-31 23:34:00","2021-12-31 23:34:00","2022-01-01 02:34:00","2022-01-01 02:34:00","1476.4"
"2021-12-31 23:37:00","2021-12-31 23:37:00","2022-01-01 02:37:00","2022-01-01 02:37:00","1482.5"
"2021-12-31 23:40:00","2021-12-31 23:40:00","2022-01-01 02:40:00","2022-01-01 02:40:00","1481.5"
"2021-12-31 23:43:00","2021-12-31 23:43:00","2022-01-01 02:43:00","2022-01-01 02:43:00","1471.1"
"2021-12-31 23:46:00","2021-12-31 23:46:00","2022-01-01 02:46:00","2022-01-01 02:46:00","1471.0"
